Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,United States
2000,143.4,44.6,86.7,64.0,378.3,85.3,43.1,16.1,4.3,241.2,169.8,18.9,15.7,233.7,238.8,79.8,76.2,145.0,225.6,22.4,77.9,82.9,195.3,98.0,61.5,126.1,30.7,41.9,45.7,17.6,122.8,58.4,212.6,149.9,51.4,266.4,100.2,41.1,277.5,11.8,81.3,14.3,127.9,678.8,65.4,6.8,123.7,78.4,115.4,108.5,63.5,5866.6
2001,135.0,43.7,89.2,63.3,383.4,93.6,41.9,15.6,4.1,240.3,162.3,19.4,15.7,225.3,228.8,78.8,72.0,146.8,198.8,22.6,77.8,82.8,191.4,95.2,70.4,131.0,31.9,43.3,45.1,17.1,120.4,58.7,207.1,145.1,52.4,256.0,101.7,40.9,264.8,12.4,79.1,13.6,125.9,674.7,63.4,6.6,121.6,78.4,104.8,106.5,63.9,5764.7
2002,140.0,43.9,88.6,61.9,381.8,91.8,40.3,15.4,4.2,243.7,167.2,20.6,15.1,227.8,231.9,79.6,77.2,147.6,208.1,24.1,77.8,83.7,190.8,97.8,63.0,132.2,30.3,42.8,41.8,17.8,120.4,55.7,201.4,146.8,52.1,262.4,102.0,39.4,271.6,11.8,80.7,13.9,125.3,687.0,62.7,6.4,120.1,72.0,118.1,107.7,62.7,5809.2
2003,140.9,43.9,90.5,62.5,370.3,91.2,43.0,15.9,3.9,247.8,170.3,21.6,14.5,231.3,237.8,79.2,78.9,143.6,203.6,23.8,80.6,85.0,187.5,101.9,64.6,139.1,32.6,43.9,44.0,21.1,121.7,57.9,212.0,148.0,51.7,270.3,104.2,39.9,275.2,11.6,81.3,13.8,123.5,681.3,63.4,6.6,124.2,74.0,114.6,105.7,64.6,5859.9
2004,143.6,47.2,97.8,63.1,389.4,94.4,45.0,16.2,4.0,259.9,176.0,22.6,15.8,239.2,237.8,81.5,76.1,149.4,214.0,24.2,81.6,83.6,190.4,101.4,66.3,140.0,34.3,43.8,48.3,22.1,124.6,59.2,214.8,151.7,50.3,266.1,100.4,41.0,278.7,11.0,88.5,13.9,125.3,682.6,66.1,7.1,128.4,75.4,111.6,108.5,64.7,5978.8
2005,145.0,48.5,97.7,60.7,385.7,96.4,44.3,16.9,3.9,262.7,186.3,23.2,15.9,245.0,236.4,81.3,72.5,151.5,206.2,23.2,83.6,85.0,192.2,102.3,64.4,142.8,35.3,44.2,50.3,21.4,129.2,59.7,210.7,155.7,53.2,273.7,107.2,41.3,281.4,11.3,86.9,13.4,126.5,654.4,67.5,6.8,130.0,76.2,113.6,111.6,63.9,5999.2
2006,147.5,46.2,100.9,62.6,394.7,97.5,41.3,15.9,3.2,261.3,183.8,23.5,15.9,237.0,234.4,82.7,72.7,153.9,212.9,21.4,78.7,77.1,181.0,99.6,66.5,141.0,35.5,44.8,41.8,19.5,122.1,60.3,192.2,150.2,51.5,266.5,110.6,40.6,275.9,10.6,87.3,13.5,128.5,653.8,68.8,6.7,123.5,73.9,113.8,103.7,64.7,5913.7
2007,149.0,44.5,102.8,63.9,399.3,100.1,40.5,16.7,3.4,258.7,186.3,24.3,16.4,244.5,233.9,87.9,80.4,154.3,213.5,21.1,78.9,80.4,183.0,101.1,68.5,140.0,36.9,45.0,42.0,19.3,129.6,59.4,198.7,156.0,53.3,270.1,109.8,44.0,278.5,11.1,87.7,14.0,128.1,652.9,70.7,6.5,128.7,79.3,116.0,105.3,67.0,6003.1
2008,141.2,39.9,103.3,64.8,383.5,98.1,37.9,15.8,3.1,240.4,173.7,19.5,15.6,243.2,229.6,91.8,75.1,152.0,215.5,19.2,75.1,77.2,176.7,100.7,65.1,136.7,36.2,47.1,41.2,18.9,127.4,56.9,188.9,150.8,53.7,262.8,112.6,43.0,270.4,10.7,85.5,15.1,121.7,624.5,69.9,6.0,117.5,76.0,111.8,105.8,67.6,5816.6
2009,121.2,38.2,94.2,62.0,369.7,93.9,36.1,12.1,3.2,225.7,163.5,19.1,15.2,227.6,206.3,86.7,73.2,141.4,201.0,18.5,71.7,70.6,165.4,92.8,60.9,130.9,32.7,47.8,39.6,17.2,110.1,57.7,172.8,134.2,52.2,237.4,106.7,41.0,244.8,11.3,79.8,14.9,102.8,585.9,65.0,6.2,106.2,73.7,90.5,96.7,64.2,5392.0
2010,133.6,38.0,99.2,66.2,356.1,96.5,36.6,11.8,3.2,246.7,176.0,20.4,16.1,234.3,216.8,91.1,72.1,151.4,206.5,17.7,71.3,73.1,168.1,92.4,63.5,135.6,34.6,50.1,41.0,16.7,105.7,53.4,186.1,147.9,52.7,246.0,105.3,40.9,256.5,11.0,84.0,15.0,110.7,614.3,63.8,5.9,111.5,70.9,101.5,99.1,65.6,5584.6
2011,130.5,37.8,97.3,67.6,341.4,93.0,35.1,12.6,3.1,233.3,160.6,20.6,15.8,232.7,208.7,87.9,70.2,150.6,210.6,17.2,66.7,69.0,162.9,91.7,58.3,135.9,31.7,52.5,37.6,16.3,104.1,55.8,175.9,133.3,54.1,233.9,106.4,37.3,250.6,11.0,80.0,14.6,106.9,632.0,64.2,5.8,102.6,67.1,98.7,98.2,64.4,5445.9
2012,124.0,36.9,95.3,66.5,347.8,91.9,34.5,13.7,2.7,228.4,142.7,20.3,15.7,219.9,194.5,81.7,65.6,139.7,200.3,15.6,62.4,62.9,156.2,87.0,60.1,128.3,30.5,50.8,37.7,14.8,98.8,53.9,168.5,125.5,56.6,214.1,104.4,37.1,240.2,10.5,73.4,14.9,100.6,619.4,61.6,5.4,99.0,65.7,93.1,91.1,66.8,5229.0
2013,121.2,34.8,99.0,68.8,348.3,92.6,34.8,13.3,2.8,227.9,143.8,20.1,17.1,233.2,199.6,82.8,69.3,138.7,192.4,16.3,61.6,66.8,164.5,91.4,57.0,133.5,31.7,53.7,39.4,14.5,100.9,53.3,170.1,126.7,57.0,227.6,102.6,39.3,249.8,10.1,69.9,15.4,99.1,647.6,66.4,5.7,105.8,72.2,95.2,101.6,68.8,5356.0
2014,123.4,34.5,97.0,69.2,344.0,93.4,35.2,13.0,3.0,234.1,149.1,19.4,16.7,236.7,205.2,83.9,69.8,139.3,190.0,16.4,64.2,65.4,164.3,96.6,59.6,132.8,32.2,52.3,40.1,15.2,105.0,50.2,177.8,129.8,59.1,230.0,104.0,38.1,249.6,10.6,74.2,15.3,104.5,653.4,65.1,5.9,106.5,70.5,100.8,101.6,65.7,5413.2
2015,119.9,35.5,94.7,59.4,351.0,91.9,36.5,13.1,3.0,238.6,146.7,19.6,17.9,219.0,185.8,77.9,63.9,129.4,190.6,16.6,62.3,67.2,165.0,89.8,61.2,123.6,32.1,50.8,38.1,15.3,103.9,50.2,175.6,125.4,57.7,211.3,99.7,38.2,233.0,10.9,72.5,14.1,100.8,647.9,63.5,6.1,106.5,72.3,92.8,100.4,63.8,5262.8
2016,114.6,33.9,90.6,62.4,351.8,88.9,34.2,13.7,2.8,239.8,145.4,19.8,18.3,206.6,181.4,74.4,61.9,124.2,193.0,16.1,60.4,64.5,154.7,91.4,62.2,119.0,30.7,48.4,39.5,13.8,105.6,48.3,170.7,125.3,54.7,205.1,95.6,37.9,217.8,9.6,71.6,14.8,103.3,650.4,58.6,5.9,107.4,77.4,95.2,96.1,61.0,5170.5
2017,109.1,34.3,90.0,64.3,354.2,89.0,33.9,12.9,2.6,238.8,142.2,20.4,18.6,204.7,175.6,76.7,58.3,115.0,199.1,15.3,54.8,65.0,155.4,91.4,60.3,124.5,30.7,47.9,39.6,13.5,99.1,49.0,166.4,121.2,56.6,204.5,92.7,39.0,214.8,10.0,69.0,14.6,97.9,659.9,58.7,5.8,103.0,77.3,91.4,99.1,62.4,5130.6
2018,112.9,35.0,93.6,70.9,355.5,90.3,37.5,13.3,2.9,242.5,142.4,20.5,18.9,211.5,188.3,82.6,62.1,120.8,198.7,14.7,61.5,64.4,163.6,94.9,63.2,124.3,30.7,52.3,40.9,14.2,105.1,45.2,175.4,124.4,58.9,208.5,97.4,39.7,219.8,11.1,73.2,15.5,94.4,681.9,60.9,5.8,107.4,76.7,89.7,101.7,63.4,5281.0