Year,United States,Northeast,Midwest,South,West,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2000,282162411,53666295,64491431,100565549,63439136,4452173,627963,5160586,2678588,33987977,4326921,3411777,786373,572046,16047515,8227303,1213519,1299430,12434161,6091866,2929067,2693681,4049021,4471885,1277072,5311034,6361104,9952450,4933692,2848353,5607285,903773,1713820,2018741,1239882,8430621,1821204,19001780,8081614,642023,11363543,3454365,3429708,12284173,1050268,4024223,755844,5703719,20944499,2244502,609618,7105817,5910512,1807021,5373999,494300
2001,284968955,53915522,64776531,101849575,64427327,4467634,633714,5273477,2691571,34479458,4425687,3432835,795699,574504,16356966,8377038,1225948,1319962,12488445,6127760,2931997,2702162,4068132,4477875,1285692,5374691,6397634,9991120,4982796,2852994,5641142,906961,1719836,2098399,1255517,8492671,1831690,19082838,8210122,639062,11387404,3467100,3467937,12298970,1057142,4064995,757972,5750789,21319622,2283715,612223,7198362,5985722,1801481,5406835,494657
2002,287625193,54143915,65018293,103150787,65312198,4480089,642337,5396255,2705927,34871843,4490406,3458749,806169,573158,16689370,8508256,1239613,1340372,12525556,6155967,2934234,2713535,4089875,4497267,1295960,5440389,6417206,10015710,5018935,2858681,5674825,911667,1728292,2173791,1269089,8552643,1855309,19137800,8326201,638168,11407889,3489080,3513424,12331031,1065995,4107795,760020,5795918,21690325,2324815,615442,7286873,6052349,1805414,5445162,500017
2003,290107933,54334453,65276954,104380188,66116338,4503491,648414,5510364,2724816,35253159,4528732,3484336,818003,568502,17004085,8622793,1251154,1363380,12556006,6196638,2941999,2723004,4117170,4521042,1306513,5496269,6422565,10041152,5053572,2868312,5709403,919630,1738643,2248850,1279840,8601402,1877574,19175939,8422501,638817,11434788,3504892,3547376,12374658,1071342,4150297,763729,5847812,22030931,2360137,617858,7366977,6104115,1812295,5479203,503453
2004,292805298,54423533,65532305,105883977,66965483,4530729,659286,5652404,2749686,35574576,4575013,3496094,830803,567754,17415318,8769252,1273569,1391802,12589773,6233007,2953635,2734373,4146101,4552238,1313688,5546935,6412281,10055315,5087713,2889010,5747741,930009,1749370,2346222,1290121,8634561,1903808,19171567,8553152,644705,11452251,3525233,3569463,12410722,1074579,4210921,770396,5910809,22394023,2401580,619920,7475575,6178645,1816438,5514026,509106
2005,295516599,54451230,65751872,107479771,67833726,4569805,666946,5839077,2781097,35827943,4631888,3506956,845150,567136,17842038,8925922,1292729,1428241,12609903,6278616,2964454,2745299,4182742,4576628,1318787,5592379,6403290,10051137,5119598,2905943,5790300,940102,1761497,2432143,1298492,8651974,1932274,19132610,8705407,646089,11463320,3548597,3613202,12449990,1067916,4270150,775493,5991057,22778123,2457719,621215,7577105,6257305,1820492,5546166,514157
2006,298379912,54522659,66028555,109076933,68751765,4628981,675302,6029141,2821761,36021202,4720423,3517460,859268,570681,18166990,9155813,1309731,1468669,12643955,6332669,2982644,2762931,4219239,4302665,1323619,5627367,6410084,10036081,5163555,2904978,5842704,952692,1772693,2522658,1308389,8661679,1962137,19104631,8917270,649422,11481213,3594090,3670883,12510809,1063096,4357847,783033,6088766,23359580,2525507,622892,7673725,6370753,1827912,5577655,522667
2007,301231207,54653362,66293689,110688742,69595414,4672840,680300,6167681,2848650,36250311,4803868,3527270,871749,574404,18367842,9349988,1315675,1505105,12695866,6379599,2999212,2783785,4256672,4375581,1327040,5653408,6431559,10001284,5207203,2928350,5887612,964706,1783440,2601072,1312540,8677885,1990070,19132335,9118037,652822,11500468,3634349,3722417,12563937,1057315,4444110,791623,6175727,23831983,2597746,623481,7751000,6461587,1834052,5610775,534876
2008,304093966,54875926,66523935,112184930,70509175,4718206,687455,6280362,2874554,36604337,4889730,3545579,883874,580236,18527305,9504843,1332213,1534320,12747038,6424806,3016734,2808076,4289878,4435586,1330509,5684965,6468967,9946889,5247018,2947806,5923916,976415,1796378,2653630,1315906,8711090,2010662,19212436,9309449,657569,11515391,3668976,3768748,12612285,1055003,4528996,799124,6247411,24309039,2663029,624151,7833496,6562231,1840310,5640996,546043
2009,306771529,55133101,66748437,113548615,71341376,4757938,698895,6343154,2896843,36961229,4972195,3561807,891730,592228,18652644,9620846,1346717,1554439,12796778,6459325,3032870,2832704,4317074,4491648,1329590,5730388,6517613,9901591,5281203,2958774,5961088,983982,1812683,2684665,1316102,8755602,2036802,19307066,9449566,664968,11528896,3717572,3808600,12666858,1053646,4589872,807067,6306019,24801761,2723421,624817,7925937,6667426,1847775,5669264,559851
2010,309321666,55380134,66974416,114866680,72100436,4785437,713910,6407172,2921964,37319502,5047349,3579114,899593,605226,18845537,9711881,1363963,1570746,12840503,6490432,3050745,2858190,4348181,4544532,1327629,5788645,6566307,9877510,5310828,2970548,5995974,990697,1829542,2702405,1316762,8799446,2064552,19399878,9574323,674715,11539336,3759944,3837491,12711160,1053959,4635649,816166,6355311,25241971,2775332,625879,8023699,6742830,1854239,5690475,564487
2011,311556874,55604223,67157800,116006522,72788329,4799069,722128,6472643,2940667,37638369,5121108,3588283,907381,619800,19053237,9802431,1379329,1583910,12867454,6516528,3066336,2869225,4369821,4575625,1328284,5839419,6613583,9882412,5346143,2978731,6010275,997316,1840672,2712730,1320202,8828117,2080450,19499241,9657592,685225,11544663,3788379,3872036,12745815,1053649,4671994,823579,6399291,25645629,2814384,627049,8101155,6826627,1856301,5705288,567299
2012,313830990,55775216,67336743,117241208,73477823,4815588,730443,6554978,2952164,37948800,5192647,3594547,915179,634924,19297822,9901430,1394804,1595324,12882510,6537703,3076190,2885257,4386346,4600972,1327729,5886992,6663005,9897145,5376643,2983816,6024367,1003783,1853303,2743996,1324232,8844942,2087309,19572932,9749476,701176,11548923,3818814,3899001,12767118,1054621,4717354,833566,6453898,26084481,2853375,626090,8185080,6897058,1856872,5719960,576305
2013,315993715,55901806,67560379,118364400,74167130,4830081,737068,6632764,2959400,38260787,5269035,3594841,923576,650581,19545621,9972479,1408243,1611206,12895129,6568713,3092997,2893212,4404659,4624527,1328009,5923188,6713315,9913065,5413479,2988711,6040715,1013569,1865279,2775970,1326622,8856972,2092273,19624447,9843336,722036,11576684,3853214,3922468,12776309,1055081,4764080,842316,6494340,26480266,2897640,626210,8252427,6963985,1853914,5736754,582122
2014,318301008,56006011,67745167,119624037,74925793,4841799,736283,6730413,2967392,38596972,5350101,3594524,932487,662328,19845911,10067278,1414538,1631112,12884493,6593644,3109350,2900475,4414349,4644013,1330513,5957283,6762596,9929848,5451079,2990468,6056202,1021869,1879321,2817628,1333341,8864525,2089568,19651049,9932887,737401,11602700,3878187,3963244,12788313,1055936,4823617,849129,6541223,26964333,2936879,625214,8310993,7054655,1849489,5751525,582531
2015,320635163,56034684,67860583,120997341,75742555,4852347,737498,6829676,2978048,38918045,5450623,3587122,941252,675400,20209042,10178447,1422052,1651059,12858913,6608422,3120960,2909011,4425976,4664628,1328262,5985562,6794228,9931715,5482032,2988471,6071732,1030475,1891277,2866939,1336350,8867949,2089291,19654666,10031646,754066,11617527,3909500,4015792,12784826,1056065,4891938,853988,6591170,27470056,2981835,625216,8361808,7163657,1842050,5760940,585613
2016,322941311,56042330,67987540,122351760,76559681,4863525,741456,6941072,2989918,39167117,5539215,3578141,948921,685815,20613477,10301890,1427559,1682380,12820527,6634304,3131371,2910844,4438182,4678135,1331317,6003323,6823608,9950571,5522744,2987938,6087135,1040859,1905616,2917563,1342307,8870827,2091630,19633428,10154788,754434,11634370,3926331,4089976,12782275,1056770,4957968,862996,6646010,27914410,3041868,623657,8410106,7294771,1831023,5772628,584215
2017,324985539,56059240,68126781,123542189,77257329,4874486,739700,7044008,3001345,39358497,5611885,3573297,956823,694906,20963613,10410330,1424393,1717715,12778828,6658078,3141550,2908718,4452268,4670560,1334612,6023868,6859789,9973114,5566230,2988510,6106670,1052482,1915947,2969905,1348787,8885525,2091784,19589572,10268233,754942,11659650,3931316,4143625,12787641,1055673,5021268,872868,6708799,28295273,3101042,624344,8463587,7423362,1817004,5790186,578931
2018,326687501,56046620,68236628,124569433,77834820,4887681,735139,7158024,3009733,39461588,5691287,3571520,965479,701547,21244317,10511131,1420593,1750536,12723071,6695497,3148618,2911359,4461153,4659690,1339057,6035802,6882635,9984072,5606249,2981020,6121623,1060665,1925614,3027341,1353465,8886025,2092741,19530351,10381615,758080,11676341,3940235,4181886,12800922,1058287,5084156,878698,6771631,28628666,3153550,624358,8501286,7523869,1804291,5807406,577601